Sample ID, SMILES
NCGC00167578-07,c1ccc(cc1)C[C@@H](CC(=O)N2C[C@H]3CCCC[C@H]3C2)C(=O)O[Ca]OC(=O)[C@@H](Cc4ccccc4)CC(=O)N5C[C@H]6CCCC[C@H]6C5
NCGC00169614-02,C[C@H]1C(=O)N2c3ccccc3[C@]4([C@H]2N1[C@@]5(c6nc7ccccc7c(=O)n6[C@H](C4)C(=O)N5)C)O
NCGC00180527-03,C[C@]12C[C@]3([C@@H]4C[C@]1([C@@]4([C@@H](O2)O3)COC(=O)c5ccccc5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O
NCGC00180680-03,C[C@@]12CCC[C@@]([C@H]1CC[C@]34C2=CC[C@@H](C3)C(=C)C4)(C)C(=O)O
NCGC00249888-04,Cc1cc2c(cc1C)[n+](cn2C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC\4(C(C5=N/C4=C(\C6=N/C(=C\C7=N/C(=C(\C8=NC5(C(C8CCC(=O)N)(C)CC(=O)N)C)/C)/C(C7CCC(=O)N)(C)CC(=O)N)/C(C6CCC(=O)N)(C)C)/C)CC(=O)N)C)O)[Co]C#N
NCGC00346521-01,c1cc(cnc1)CC(O)(P(=O)(O)O)P(=O)(O)O[Na]
NCGC00356070-01,c1ccc(c(c1)C(=O)/C=C/N2C[C@@H]3C[C@@H]2CN3c4ccccn4)O
NCGC00380240-01,C[C@@]12CCC[C@@]([C@H]1CC[C@]34C2=CC[C@@H](C3)C(C4)(CO)O)(C)C(=O)O
NCGC00380499-01,C/C(=C\C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/C=C/[C@@]2([C@@]3(C[C@@H](C[C@@]2(OC3)C)O)C)O
NCGC00380749-01,C[C@]12C[C@]3([C@@H]4C[C@]1([C@@]4([C@@H](O2)O3)COC(=O)c5ccccc5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)COC(=O)c7ccccc7)O)O)O)O
NCGC00380849-01,C/C=C/CCC(=O)C1=C(C2(C3C(=C([C@@]4(C1[C@]5([C@@]2(O[C@@]3([C@@]4(O5)O)C)O)C)C)O)C(=O)/C=C/C=C/C)C)O
NCGC00380860-01,CC(=O)O[C@H]1C(=C)[C@H]2CCC3[C@]1(C2)CCC4[C@]3(CCC[C@@]4(C)C(=O)O)C
NCGC00380952-01,C[C@@H]1[C@H]([C@H]2[C@@H]([C@H]1OC(=O)C)C=C([C@@H]3[C@@H]2[C@H]4[C@@H](C3)[C@]5(CC[C@@H]6[C@H]([C@]([C@@H]4C(=O)O6)(O5)O)C)C)C(=O)O)O
NCGC00381113-01,CC(=C)C(=O)OC1CC2(C(=O)C=C(O2)C(=C)CC3C1C(=C)C(=O)O3)C
NCGC00381205-01,C/C=C(/C)\C(=O)OC1C(=C)[C@H]2CCC3[C@]1(C2OC(=O)C)CCC4[C@]3(CCC[C@@]4(C)C(=O)O)C
NCGC00381452-01,CC1=CC2[C@@](C[C@H]3C4[C@@]2(CC[C@H](C4(C)C)OC(=O)C)C(=O)O3)([C@@]5([C@]1(C(=O)C(=C5O)C)C)C(=O)OC)C
NCGC00381453-01,C/C=C/C=C/C(=O)C1=C(C2(C3C(=C([C@@]4(C1[C@]5([C@@]2(O[C@@]3([C@@]4(O5)O)C)O)C)C)O)C(=O)/C=C/C=C/C)C)O
NCGC00384503-01,C/C/1=C/C2C(C(CC3(C(=O)C=C1O3)C)OC(=O)/C(=C/COC(=O)C)/C)C(=C)C(=O)O2
NCGC00384607-01,C/C=C(/C)\C(=O)OC1CC2(C(=O)C=C(O2)C(=C)CC3C1C(=C)C(=O)O3)C
NCGC00384677-01,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)OC(=O)CC(C)C)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O)O)O)CO
NCGC00384998-01,CC(C)CC(=O)O[C@H]1[C@H]2[C@H]([C@H]3[C@H]([C@]2(CO)O)O3)C(=CO1)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
NCGC00385198-01,CCC(C)C(=O)O[C@@H]1[C@@H]2[C@H](CC(=C1[C@H](C)CCCO)C)OC(=O)[C@]23C[C@@]45[C@@H](C[C@@H]6[C@@H](CC4=C([C@H]3[C@H]5OC(=O)C)C)C(=C)C(=O)O6)C
NCGC00385618-01,CCN1C[C@@]2(CC[C@@H]([C@]34[C@H]1[C@@H]([C@@H](C23)OC)[C@]5(C[C@@H]([C@H]6CC4C5[C@@H]6OC(=O)C)OC)OC(=O)C)O)COC
NCGC00386250-01,CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O[Na]
NCGC00386304-02,Cc1c(c2ccccn2c1C(=O)c3ccc(c(c3)C(=O)O[Na])N)OC
NCGC00387230-01,c1ccc(cc1)c2c(c3c(c(n[nH]c3=O)O[Na])c(n2)Cl)N
NCGC00390406-01,c1ccc2c(c1)CCN(CC2)c3cc(nc(n3)c4ccccn4)NCCC(=O)O[Na]
NCGC00402359-02,CN(C1CCc2c(c3ccccc3n2CC(=O)O[Na])C1)[S+](=O)(c4ccc(cc4)F)[O-]
NCGC00425008-01,CCN(Cc1nccn1C)C(=O)c2ccc(nc2)NC[C@H]3C[C@H]4C=C[C@H]3C45CC5
NCGC00425420-01,c1cc(c(cc1F)Cl)OCc2nc(co2)C(=O)N3C[C@H]4CC[C@H]3C4
NCGC00426369-01,Cc1c(c(on1)C)CCCNC(=O)c2ccc(nc2)NC[C@H]3C[C@H]4C=C[C@H]3C45CC5
NCGC00427320-01,Cc1cc(n(n1)Cc2cc(n[nH]2)C(=O)N3C[C@H]4CC[C@H]3C4)C
NCGC00428264-01,COc1ccc(c(c1)Cl)OCc2cc(n[nH]2)C(=O)N3C[C@H]4CC[C@H]3C4
NCGC00429525-01,CCOCCn1c2c(cc(cn2)C(=O)O)n(c1=O)CCN3C[C@H]4CC[C@H]3C4
NCGC00433650-01,c1cc(ccc1OC2(CCNCC2)C(=O)N3C[C@H]4CC[C@H]3C4)Cl
NCGC00443325-01,COc1ccc(cc1)c2nc(on2)c3ccc(nc3)N4C[C@H]5CC[C@H]4C5
NCGC00485142-01,CC(=C)[C@@H]1[C@@H]2[C@@H]3[C@@]4([C@]([C@@H]1C(=O)O2)(C[C@@H]5[C@]4(O5)C(=O)O3)O)C
NCGC00485957-01,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O[Na])O[Na])OC(=O)N(CCCl)CCCl
NCGC00485963-01,CCN1C[C@@]2([C@@H](C[C@@H]([C@]34[C@@H]2[C@H]([C@H]([C@H]31)[C@@]5([C@@H]6[C@H]4C[C@]([C@@H]6OC(=O)c7ccccc7)([C@H]([C@@H]5O)OC)O)O)OC)OC)O)COC
